City,Datetime,Temperature (°C)
서울,2024-06-09 00:00:00,22.42
서울,2024-06-09 03:00:00,26.91
서울,2024-06-09 06:00:00,29.09
서울,2024-06-09 09:00:00,25.56
서울,2024-06-09 12:00:00,22.7
서울,2024-06-09 15:00:00,21.39
서울,2024-06-09 18:00:00,20.24
서울,2024-06-09 21:00:00,19.91
부산,2024-06-09 00:00:00,19.87
부산,2024-06-09 03:00:00,21.77
부산,2024-06-09 06:00:00,22.06
부산,2024-06-09 09:00:00,21.76
부산,2024-06-09 12:00:00,19.75
부산,2024-06-09 15:00:00,20.1
부산,2024-06-09 18:00:00,19.37
부산,2024-06-09 21:00:00,19.2
대구,2024-06-09 00:00:00,21.79
대구,2024-06-09 03:00:00,25.67
대구,2024-06-09 06:00:00,27.85
대구,2024-06-09 09:00:00,28.25
대구,2024-06-09 12:00:00,21.32
대구,2024-06-09 15:00:00,19.02
대구,2024-06-09 18:00:00,18.1
대구,2024-06-09 21:00:00,18.61
인천,2024-06-09 00:00:00,17.2
인천,2024-06-09 03:00:00,17.91
인천,2024-06-09 06:00:00,18.19
인천,2024-06-09 09:00:00,18.71
인천,2024-06-09 12:00:00,18.59
인천,2024-06-09 15:00:00,18.18
인천,2024-06-09 18:00:00,17.87
인천,2024-06-09 21:00:00,17.35
광주,2024-06-09 00:00:00,22.43
광주,2024-06-09 03:00:00,26.18
광주,2024-06-09 06:00:00,28.35
광주,2024-06-09 09:00:00,25.38
광주,2024-06-09 12:00:00,19.08
광주,2024-06-09 15:00:00,17.86
광주,2024-06-09 18:00:00,17.28
광주,2024-06-09 21:00:00,17.61
대전,2024-06-09 00:00:00,23.57
대전,2024-06-09 03:00:00,28.02
대전,2024-06-09 06:00:00,30.25
대전,2024-06-09 09:00:00,27.39
대전,2024-06-09 12:00:00,18.6
대전,2024-06-09 15:00:00,17.45
대전,2024-06-09 18:00:00,17.02
대전,2024-06-09 21:00:00,17.48
울산,2024-06-09 00:00:00,19.35
울산,2024-06-09 03:00:00,22.27
울산,2024-06-09 06:00:00,23.7
울산,2024-06-09 09:00:00,21.8
울산,2024-06-09 12:00:00,18.47
울산,2024-06-09 15:00:00,19.53
울산,2024-06-09 18:00:00,17.59
울산,2024-06-09 21:00:00,18.36
수원,2024-06-09 00:00:00,22.64
수원,2024-06-09 03:00:00,26.45
수원,2024-06-09 06:00:00,27.8
수원,2024-06-09 09:00:00,24.29
수원,2024-06-09 12:00:00,21.52
수원,2024-06-09 15:00:00,20.44
수원,2024-06-09 18:00:00,19.4
수원,2024-06-09 21:00:00,19.1
용인,2024-06-09 00:00:00,22.85
용인,2024-06-09 03:00:00,27.49
용인,2024-06-09 06:00:00,28.85
용인,2024-06-09 09:00:00,24.92
용인,2024-06-09 12:00:00,21.08
용인,2024-06-09 15:00:00,19.69
용인,2024-06-09 18:00:00,18.68
용인,2024-06-09 21:00:00,18.54
화성,2024-06-09 00:00:00,19.55
화성,2024-06-09 03:00:00,18.92
화성,2024-06-09 06:00:00,18.69
화성,2024-06-09 09:00:00,15.77
화성,2024-06-09 12:00:00,14.07
화성,2024-06-09 15:00:00,19.33
화성,2024-06-09 18:00:00,22.28
화성,2024-06-09 21:00:00,20.16
남양주,2024-06-09 00:00:00,21.36
남양주,2024-06-09 03:00:00,25.69
남양주,2024-06-09 06:00:00,28.48
남양주,2024-06-09 09:00:00,25.3
남양주,2024-06-09 12:00:00,19.91
남양주,2024-06-09 15:00:00,18.17
남양주,2024-06-09 18:00:00,17
남양주,2024-06-09 21:00:00,17.15
전주,2024-06-09 00:00:00,22.98
전주,2024-06-09 03:00:00,27.12
전주,2024-06-09 06:00:00,28.07
전주,2024-06-09 09:00:00,23.31
전주,2024-06-09 12:00:00,17.92
전주,2024-06-09 15:00:00,17.62
전주,2024-06-09 18:00:00,17.2
전주,2024-06-09 21:00:00,17.78
천안,2024-06-09 00:00:00,22.52
천안,2024-06-09 03:00:00,26.09
천안,2024-06-09 06:00:00,26.85
천안,2024-06-09 09:00:00,23.32
천안,2024-06-09 12:00:00,17.5
천안,2024-06-09 15:00:00,16.79
천안,2024-06-09 18:00:00,16.56
천안,2024-06-09 21:00:00,17.35
안산,2024-06-09 00:00:00,21.93
안산,2024-06-09 03:00:00,24.39
안산,2024-06-09 06:00:00,25.27
안산,2024-06-09 09:00:00,22.76
안산,2024-06-09 12:00:00,20.78
안산,2024-06-09 15:00:00,20.27
안산,2024-06-09 18:00:00,19.47
안산,2024-06-09 21:00:00,19.24
안양,2024-06-09 00:00:00,31.8
안양,2024-06-09 03:00:00,38.6
안양,2024-06-09 06:00:00,39.53
안양,2024-06-09 09:00:00,39.47
안양,2024-06-09 12:00:00,33.2
안양,2024-06-09 15:00:00,30.4
